Date,Mood,Dominant Emotion,Text Entry,Anger,Disgust,Fear,Joy,Sadness,Surprise,Neutral,Negative Sentiment,Positive Sentiment
2024-04-01 00:00:00,Happy 😀 (Positive Outlook),joy,"The day started like any other. Woke up, had my usual coffee, and went about my routine. Work was neither too stressful nor too exciting—just another regular day. In the evening, I played with my",0.0213609766215086,0.007840429432690144,0.04526158422231674,0.4391184151172638,0.24273398518562317,0.1849263608455658,0.058758337050676346,0.0014896208886057138,0.9985104203224182
2024-04-01 00:00:00,Happy 😀 (Positive Outlook),joy,"regular day. In the evening, I played with my friends at 5 PM, which was a nice break from the usual routine. Later, after dinner and some TV, I hit the gym at 10 PM for a workout. Finished the day",0.004427026491612196,0.007010677829384804,0.002111453330144286,0.6542870998382568,0.2712952196598053,0.035365719348192215,0.02550293132662773,0.0015720685478299856,0.9984279870986938
2024-04-01 00:00:00,Happy 😀 (Positive Outlook),joy,the gym at 10 PM for a workout. Finished the day by scrolling through social media before heading to bed.,0.007696452550590038,0.00391007773578167,0.00962456502020359,0.06122864782810211,0.47628891468048096,0.0670856237411499,0.374165803194046,0.0016107300762087107,0.9983892440795898
2024-04-02 00:00:00,Happy 😀 (Positive Outlook),joy,"Met an old friend unexpectedly at a cafe. We hadn’t talked in years, but it felt like no time had passed. We laughed about old times, shared updates about life, and left with a warmth that carried me",0.00274746329523623,0.0017656811978667974,0.0069945817813277245,0.7909356355667114,0.015105209313333035,0.010649348609149456,0.17180202901363373,0.001064800308085978,0.9989351630210876
2024-04-02 00:00:00,Happy 😀 (Positive Outlook),joy,"life, and left with a warmth that carried me through the rest of the day. It reminded me how little moments like these can be so uplifting. Earlier in the evening, I played with my friends at 5 PM,",0.0009738817461766303,0.0014585438184440136,0.0009269786532968283,0.9524057507514954,0.02477417327463627,0.014424397610127926,0.0050362274050712585,0.0011105292942374945,0.9988895058631897
2024-04-02 00:00:00,Happy 😀 (Positive Outlook),joy,"in the evening, I played with my friends at 5 PM, which was a fun break. Later, I went to the gym at 10 PM for a workout before wrapping up the day.",0.0012536067515611649,0.0008266458171419799,0.0003516328288242221,0.977340817451477,0.011004536412656307,0.002841662848368287,0.006381144747138023,0.001293140696361661,0.9987068176269531
2024-04-03 00:00:00,Happy 😀 (Positive Outlook),joy,Received a random package at my doorstep—it was a book I had pre-ordered months ago and completely forgotten about. That small but pleasant surprise brought a smile to my face. I spent the evening,0.0014468831941485405,0.0009922616882249713,0.0005977891851216555,0.9644766449928284,0.006388783920556307,0.0015192640712484717,0.02457834780216217,0.0012018237030133605,0.998798131942749
2024-04-03 00:00:00,Happy 😀 (Positive Outlook),joy,"brought a smile to my face. I spent the evening flipping through its pages, already hooked by the first few chapters. Earlier, I played with my friends at 5 PM, which was a fun break, and later, I",0.0011196036357432604,0.0010245621670037508,0.00022796967823524028,0.9859755635261536,0.0060099451802670956,0.0015491606900468469,0.0040932451374828815,0.00111163011752069,0.9988884329795837
2024-04-03 00:00:00,Happy 😀 (Positive Outlook),joy,"at 5 PM, which was a fun break, and later, I went to the gym at 10 PM for a workout before wrapping up the day.",0.0010243807919323444,0.0005229506059549749,0.00031295017106458545,0.9769878387451172,0.006604124326258898,0.0025429304223507643,0.012004858814179897,0.0012614147271960974,0.9987385869026184
2024-04-04 00:00:00,Happy 😀 (Negative Outlook),surprise,"Saw an old picture today, and it brought back memories of someone I don’t talk to anymore. It made me wonder how things could have been different. I carried that heaviness with me all day, replaying",0.0022816648706793785,0.03808089345693588,0.05585495010018349,0.005244758911430836,0.029311882331967354,0.7309276461601257,0.13829824328422546,0.9887110590934753,0.01128894742578268
2024-04-04 00:00:00,Happy 😀 (Negative Outlook),surprise,"carried that heaviness with me all day, replaying past conversations in my mind and feeling that bittersweet nostalgia settle in my chest. Earlier, I played with my friends at 5 PM, which was a fun",0.00045317536569200456,0.000862580316606909,0.000997032388113439,0.006792821921408176,0.006163307931274176,0.9796531200408936,0.005077913403511047,0.9782317280769348,0.021768275648355484
2024-04-04 00:00:00,Happy 😀 (Negative Outlook),surprise,"I played with my friends at 5 PM, which was a fun break, and later, I went to the gym at 10 PM for a workout before wrapping up the day.",0.0014149738708510995,0.0011804146924987435,0.00028628515428863466,0.978162944316864,0.010917343199253082,0.0024141494650393724,0.005623789969831705,0.0012632278958335519,0.9987367987632751
